"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1",1,"Ngu<U+1EDD>i Nh<U+1EC7>n: Xa Nhà","Following the events of Avengers: H<U+1ED3>i K<U+1EBF>t (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",129,"Action",7.4,"69",426406,"Jon Watts","Tom Holland","390.5"
"2",2,"Avengers: H<U+1ED3>i K<U+1EBF>t","After the devastating events of Avengers: Cu<U+1ED9>c Chi<U+1EBF>n Vô C<U+1EF1>c (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.4,"78",989909,"Anthony Russo","Robert Downey Jr.","858.3"
"3",3,"K<U+1EBB> Ðâm Lén","A detective investigates the death of a patriarch of an eccentric, combative family.",130,"Comedy",7.9,"82",563509,"Rian Johnson","Daniel Craig","165.3"
"4",4,"Klaus - Câu Chuy<U+1EC7>n Giáng Sinh","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",96,"Animation",8.2,"65",135557,"Sergio Pablos","Jason Schwartzman","108.1"
"5",5,"Nh<U+1EEF>ng Ngu<U+1EDD>i Ph<U+1EE5> N<U+1EEF> Bé Nh<U+1ECF>","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",135,"Drama",7.8,"91",179434,"Greta Gerwig","Saoirse Ronan","142.5"
"6",6,"Giáng Sinh Nam <U+1EA4>y","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",103,"Comedy",6.5,"50",73408,"Paul Feig","Madison Ingoldsby","335.4"
"7",7,"Chuy<U+1EC7>n Ngày Xua <U+1EDE>... Hollywood","A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",161,"Comedy",7.6,"83",661011,"Quentin Tarantino","Leonardo DiCaprio","53.37"
"8",8,"Joker","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122,"Crime",8.4,"59",1123268,"Todd Phillips","Joaquin Phoenix","27.33"
"9",9,"Ký Sinh Trùng","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",132,"Comedy",8.6,"96",702565,"Bong Joon Ho","Kang-ho Song","159.2"
"10",10,"L<U+1EC5> H<U+1ED9>i Ð<U+1EAB>m Máu","A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.",148,"Drama",7.1,"72",270313,"Ari Aster","Florence Pugh","426.8"
"11",11,"Qu<U+1ED1>c Vuong","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",140,"Biography",7.3,"62",113442,"David Michôd","Tom Glynn-Carney","515.2"
"12",12,"Th<U+1EBF> Chi<U+1EBF>n 1917","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,"Action",8.3,"78",521364,"Sam Mendes","Dean-Charles Chapman","0.43"
"13",13,"Ð<U+1EA1>i Úy Marvel","Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",123,"Action",6.8,"64",511476,"Anna Boden","Brie Larson","96.85"
"14",14,"Quý Ông Th<U+1EBF> Gi<U+1EDB>i Ng<U+1EA7>m","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",113,"Action",7.8,"51",294305,"Guy Ritchie","Matthew McConaughey","0.35"
"15",15,"Star Wars: Skywalker Tr<U+1ED7>i D<U+1EAD>y","In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",141,"Action",6.5,"53",415545,"J.J. Abrams","Daisy Ridley","316.8"
"16",16,"Ánh Sáng Tam T<U+1ED1>i","Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.",109,"Drama",7.5,"83",183366,"Robert Eggers","Robert Pattinson","171.0"
"17",17,"Tu Vi<U+1EC7>n Downton","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",122,"Drama",7.4,"64",49258,"Michael Engler","Stephen Campbell Moore","12.14"
"18",18,"Judy","Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.",118,"Biography",6.8,"66",47631,"Rupert Goold","Renée Zellweger","61.70"
"19",19,"Jojo Rabbit","A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.",108,"Comedy",7.9,"58",352692,"Taika Waititi","Roman Griffin Davis","7.00"
"20",20,"Trò Choi K<U+1EF3> <U+1EA2>o: Thang C<U+1EA5>p","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",123,"Action",6.7,"58",228306,"Jake Kasdan","Dwayne Johnson","543.6"
"21",21,"Horrible Histories: The Movie - Rotten Romans","Atti, a smart and quick-witted Roman teenager, manages to upset Emperor Nero with one of his schemes. For punishment, Atti is sent to work in a cold and wet Britain where he also meets the Celts.",92,"Comedy",5.3,"73",2623,"Dominic Brigstocke","Sebastian Croft","73.29"
"22",22,"Sát Th<U+1EE7> John Wick: Ph<U+1EA7>n 3 - Chu<U+1EA9>n B<U+1ECB> Chi<U+1EBF>n Tranh","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",130,"Action",7.4,"30",316128,"Chad Stahelski","Keanu Reeves","96.37"
"23",23,"After","A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.",105,"Drama",5.3,"80",49009,"Jenny Gage","Josephine Langford","173.9"
"24",24,"M<U+1ED9>t Ngày Ð<U+1EB9>p Tr<U+1EDD>i <U+1EDE> Khu Ph<U+1ED1>","Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.",109,"Biography",7.3,"94",73498,"Marielle Heller","Tom Hanks","22.96"
"25",25,"Ngu<U+1EDD>i Ðàn Ông Ireland","Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.",209,"Biography",7.8,"55",361090,"Martin Scorsese","Robert De Niro","1.62"
"26",26,"Vua Su T<U+1EED>","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",118,"Animation",6.8,"55",231742,"Jon Favreau","Donald Glover","48.55"
"27",27,"Ngày Hôm Qua","A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.",116,"Comedy",6.8,"69",143048,"Danny Boyle","Himesh Patel","28.71"
"28",28,"Ngu<U+1EDD>i Ho<U+1EA3> Ti<U+1EC5>n","A musical fantasy about the fantastical human story of Elton John's breakthrough years.",121,"Biography",7.3,"60",164144,"Dexter Fletcher","Taron Egerton","104.9"
"29",29,"Quá Nhanh Quá Nguy Hi<U+1EC3>m: Hobbs và Shaw","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",137,"Action",6.5,"68",200230,"David Leitch","Dwayne Johnson","477.3"
"30",30,"Gia Ðình Ð<U+1EA1>i Chi<U+1EBF>n","A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.",108,"Biography",7.1,"59",77004,"Stephen Merchant","Dwayne Johnson","434.0"
"31",31,"Doctor Sleep: Ký <U+1EE8>c Kinh Hoàng","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",152,"Drama",7.3,"43",175458,"Mike Flanagan","Ewan McGregor","117.6"
"32",32,"Sau Th<U+1EBF> Chi<U+1EBF>n","Post World War II, a British colonel and his wife are assigned to live in Hamburg during the post-war reconstruction, but tensions arise with the German who previously owned the house.",108,"Drama",6.4,"38",19857,"James Kent","Keira Knightley","355.5"
"33",33,"Ðàn Ông Song T<U+1EED>","An over-the-hill hitman faces off against a younger clone of himself.",117,"Action",5.7,"91",107151,"Ang Lee","Will Smith","140.3"
"34",34,"Kim Cuong Trong Ðá","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",135,"Crime",7.4,"32",254627,"Benny Safdie","Adam Sandler","3.76"
"35",35,"Nh<U+1EEF>ng Chú Mèo","A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.",110,"Comedy",2.7,"64",48385,"Tom Hooper","James Corden","2.00"
"36",36,"Trò Choi Ðêm Tân Hôn","A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.",95,"Action",6.9,"41",134056,"Matt Bettinelli-Olpin","Samara Weaving","35.40"
"37",37,"6 Underground - Ð<U+1EA1>i Chi<U+1EBF>n Th<U+1EBF> Gi<U+1EDB>i Ng<U+1EA7>m","Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",128,"Action",6.1,"79",160873,"Michael Bay","Ryan Reynolds",NA
"38",38,"Vu N<U+1EEF> Thoát Y","Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.",110,"Comedy",6.3,"64",93741,"Lorene Scafaria","Constance Wu",NA
"39",39,"N<U+1EEF> Hoàng Bang Giá II","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",103,"Animation",6.8,"84",158143,"Chris Buck","Kristen Bell",NA
"40",40,"Câu Chuy<U+1EC7>n Ð<U+1ED3> Choi 4","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",100,"Animation",7.7,"81",230054,"Josh Cooley","Tom Hanks",NA
"41",41,"Cu<U+1ED9>c Ðua L<U+1ECB>ch S<U+1EED>","American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.",152,"Action",8.1,"51",349723,"James Mangold","Matt Damon",NA
"42",42,"Hãy Ð<U+1EC3> Tuy<U+1EBF>t Roi","In a small town on Christmas Eve, a snowstorm brings together a group of young people.",92,"Comedy",5.8,"53",21204,"Luke Snellin","Isabela Merced",NA
"43",43,"Aladdin","A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",128,"Adventure",6.9,"71",250869,"Guy Ritchie","Will Smith",NA
"44",44,"Shazam!","A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.",132,"Action",7,"19",305499,"David F. Sandberg","Zachary Levi",NA
"45",45,"Polar: Sát Th<U+1EE7> Tái Xu<U+1EA5>t","A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",118,"Action",6.3,"95",84550,"Jonas Åkerlund","Mads Mikkelsen",NA
"46",46,"B<U+1EE9>c Chân Dung B<U+1ECB> Thiêu Cháy","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",122,"Drama",8.1,"64",81784,"Céline Sciamma","Noémie Merlant",NA
"47",47,"Tin 'Nóng'","A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.",109,"Biography",6.8,"94",107412,"Jay Roach","Charlize Theron",NA
"48",48,"Câu Chuy<U+1EC7>n Hôn Nhân","Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.",137,"Comedy",7.9,"73",283530,"Noah Baumbach","Adam Driver",NA
"49",49,"Cái Giá C<U+1EE7>a S<U+1EF1> Th<U+1EAD>t","A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.",126,"Biography",7.6,"80",78970,"Todd Haynes","Mark Ruffalo",NA
"50",50,"Gi<U+1EA3>i Mã Bí <U+1EA8>n Ngân Hà","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",123,"Adventure",6.5,NA,221082,"James Gray","Brad Pitt",NA
"51",51,"Ðêm Tru<U+1EDB>c L<U+1EC5> T<U+1ED1>t Nghi<U+1EC7>p","On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",102,"Comedy",7.2,"84",109922,"Olivia Wilde","Kaitlyn Dever","22.68"
"52",52,"Sound of Metal","A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.",120,"Drama",7.8,"82",112650,"Darius Marder","Riz Ahmed","62.25"
"53",53,"Tr<U+1EAD>n Chi<U+1EBF>n Midway","The story of the Battle of Midway, told by the leaders and the sailors who fought it.",138,"Action",6.7,"47",78520,"Roland Emmerich","Ed Skrein","22.78"
"54",54,"Noelle","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",100,"Adventure",6.3,"48",20752,"Marc Lawrence","Anna Kendrick","158.8"
"55",55,"K<U+1EBB> H<U+1EE7>y Di<U+1EC7>t: V<U+1EAD>n M<U+1EC7>nh Ðen T<U+1ED1>i","An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",128,"Action",6.2,"54",167262,"Tim Miller","Linda Hamilton","85.71"
"56",56,"The Professor and the Madman","Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",124,"Biography",7.3,"27",42314,"Farhad Safinia","Mel Gibson","65.85"
"57",57,"A Dog's Journey","A dog finds the meaning of his own existence through the lives of the humans he meets.",109,"Adventure",7.5,"43",23021,"Gail Mancuso","Josh Gad","175.0"
"58",58,"Hi<U+1EC7>p Si Giáng Sinh","A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.",92,"Adventure",5.6,"38",17456,"Monika Mitchell","Vanessa Hudgens","26.80"
"59",59,"Chuy<U+1EC7>n Ngày Mua <U+1EDE> New York","A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.",92,"Comedy",6.5,"55",39884,"Woody Allen","Timothée Chalamet","69.03"
"60",60,"Ð<U+1EB3>ng C<U+1EA5>p Thú Cung 2","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",86,"Animation",6.5,"52",58338,"Chris Renaud","Patton Oswalt","57.01"
"61",61,"K<U+1EBB> Cu<U+1ED3>ng Sát Bi<U+1EBF>n Thái","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",110,"Biography",6.7,"68",88496,"Joe Berlinger","Lily Collins","10.21"
"62",62,"Lòng Nhân T<U+1EEB>","World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.",137,"Biography",7.6,"52",60418,"Destin Daniel Cretton","Michael B. Jordan","113.9"
"63",63,"Nh<U+1EEF>ng Thiên Th<U+1EA7>n C<U+1EE7>a Charlie","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",118,"Action",4.9,"53",67858,"Elizabeth Banks","Kristen Stewart","211.5"
"64",64,"Alita: Thiên Th<U+1EA7>n Chi<U+1EBF>n Binh","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",122,"Action",7.3,"43",252838,"Robert Rodriguez","Rosa Salazar","0.40"
"65",65,"X-Men: Phu<U+1EE3>ng Hoàng Bóng T<U+1ED1>i","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",113,"Action",5.7,"48",174676,"Simon Kinberg","James McAvoy","110.5"
"66",66,"Du<U+1EDB>i Bóng Trang","A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.",115,"Crime",6.2,"81",48139,"Jim Mickle","Boyd Holbrook","69.06"
"67",67,"Chúng Ta","A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.",116,"Horror",6.8,"55",265511,"Jordan Peele","Lupita Nyong'o","4.54"
"68",68,"Vùng Ð<U+1EA5>t Thây Ma: Cú B<U+1EAF>n Ðúp","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",99,"Action",6.7,"38",166373,"Ruben Fleischer","Woody Harrelson","13.12"
"69",69,"V<U+1EE5> Gi<U+1EBF>t Ngu<U+1EDD>i Bí <U+1EA8>n","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",97,"Action",6,"45",116940,"Kyle Newacheck","Adam Sandler","111.0"
"70",70,"Nhà Tr<U+1EAF>ng Th<U+1EA5>t Th<U+1EE7>: K<U+1EBB> Ph<U+1EA3>n B<U+1ED9>i","Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.",121,"Action",6.4,"68",91692,"Ric Roman Waugh","Gerard Butler","60.72"
"71",71,"Anh Hùng Richard Jewell","Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.",131,"Biography",7.5,"48",79278,"Clint Eastwood","Paul Walter Hauser","80.00"
"72",72,"Can Phòng T<U+1EED> Th<U+1EA7>n","Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.",99,"Action",6.4,"73",111381,"Adam Robitel","Taylor Russell","21.90"
"73",73,"H<U+1ED1> Sâu Ðói Khát","A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.",94,"Horror",7,"49",198274,"Galder Gaztelu-Urrutia","Ivan Massagué",NA
"74",74,"The Best of Enemies","Civil rights activist Ann Atwater faces off against C.P. Ellis, Exalted Cyclops of the Ku Klux Klan, in 1971 Durham, North Carolina over the issue of school integration.",133,"Biography",7.3,"43",15330,"Robin Bissell","Taraji P. Henson",NA
"75",75,"Tiên H<U+1EAF>c Ám 2","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",119,"Adventure",6.6,"83",97923,"Joachim Rønning","Angelina Jolie",NA
"76",76,"Saint Maud","A pious nurse becomes dangerously obsessed with saving the soul of her dying patient.",84,"Drama",6.7,"58",29351,"Rose Glass","Morfydd Clark",NA
"77",77,"Gã H<U+1EC1> Ma Quái 2","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",169,"Drama",6.5,"63",240298,"Andy Muschietti","Jessica Chastain",NA
"78",78,"Bí M<U+1EAD>t Che Gi<U+1EA5>u","The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.",112,"Biography",7.3,"48",43914,"Gavin Hood","Keira Knightley",NA
"79",79,"Chúa T<U+1EC3> Godzilla: Ð<U+1EBF> Vuong B<U+1EA5>t T<U+1EED>","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",132,"Action",6,"71",171303,"Michael Dougherty","Kyle Chandler",NA
"80",80,"Nh<U+1EEF>ng C<U+1EAD>u Trai Ngoan","Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",90,"Adventure",6.7,"48",70676,"Gene Stupnitsky","Jacob Tremblay",NA
"81",81,"Ti<U+1EC1>n Ð<U+1ED3>n","A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.",123,"Action",6.8,"36",29859,"Rod Lurie","Scott Eastwood",NA
"82",82,"Tolkien","The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.",112,"Biography",6.8,"70",37950,"Dome Karukoski","Nicholas Hoult",NA
"83",83,"R<U+1EA1>n V<U+1EE1>","A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",99,"Mystery",6.4,"31",67566,"Brad Anderson","Sam Worthington",NA
"84",84,"Cu<U+1ED9>c Phiêu Luu C<U+1EE7>a Chàng Kh<U+1EDD>","Zak runs away from his care home to make his dream of becoming a wrestler come true.",97,"Adventure",7.6,"39",85851,"Tyler Nilson","Zack Gottsagen",NA
"85",85,"<U+1EE8>ng D<U+1EE5>ng T<U+1EED> Th<U+1EA7>n","When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.",90,"Horror",5.4,"61",32918,"Justin Dec","Elizabeth Lail",NA
"86",86,"Mötley Crüe: Ban Nh<U+1EA1>c Tai Ti<U+1EBF>ng","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",107,"Biography",7,"55",45319,"Jeff Tremaine","Douglas Booth",NA
"87",87,"Bang Cu<U+1EDB>p B<U+1EA5>t Ð<U+1EAF>c Di","Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",125,"Action",6.4,"43",120324,"J.C. Chandor","Ben Affleck",NA
"88",88,"L<U+1EDD>i Nói D<U+1ED1>i Hoàn H<U+1EA3>o","Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.",109,"Crime",6.7,"65",37144,"Bill Condon","Helen Mirren",NA
"89",89,"B<U+1ED9> Ba Quái Nhân","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",129,"Drama",6.6,"58",228924,"M. Night Shyamalan","James McAvoy",NA
"90",90,"I See You","Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.",98,"Crime",6.8,"60",44931,"Adam Randall","Helen Hunt",NA
"91",91,"Bi<U+1EC7>t Ð<U+1ED9>i Xa L<U+1ED9>","The untold true story of the legendary detectives who brought down Bonnie and Clyde.",132,"Biography",6.9,"49",85958,"John Lee Hancock","Kevin Costner",NA
"92",92,"K<U+1EBB> Du Hành Trên Mây","A balloon pilot and a scientist find themselves in a fight for survival while attempting to make discoveries in a gas balloon in the 1860s.",100,"Action",6.6,"72",31459,"Tom Harper","Felicity Jones",NA
"93",93,"Giáng Sinh Ðen","A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.",92,"Horror",3.4,"61",15537,"Sophia Takal","Imogen Poots",NA
"94",94,"El Camino: A Breaking Bad Movie","Fugitive Jesse Pinkman runs from his captors, the law, and his past.",122,"Action",7.3,"38",212773,"Vince Gilligan","Aaron Paul",NA
"95",95,"Everest - Ngu<U+1EDD>i Tuy<U+1EBF>t Bé Nh<U+1ECF>","Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.",97,"Animation",7,"67",35981,"Jill Culton","Chloe Bennet",NA
"96",96,"Ð<U+1EB7>c V<U+1EE5> Áo Ðen: S<U+1EE9> M<U+1EC7>nh Toàn C<U+1EA7>u","The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",114,"Action",5.6,"31",126486,"F. Gary Gray","Chris Hemsworth",NA
"97",97,"Dronningen","A successful lawyer jeopardizes her career and threatens to tear her family apart after engaging in an affair with her teenage stepson.",127,"Drama",7.1,"64",10210,"May el-Toukhy","Trine Dyrholm",NA
"98",98,"Qu<U+1EF7> Ð<U+1ECF> 3","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",120,"Action",5.2,"36",85874,"Neil Marshall","David Harbour",NA
"99",99,"Vivarium","A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.",97,"Horror",5.8,NA,50439,"Lorcan Finnegan","Imogen Poots",NA
"100",100,"Daughter of the Wolf","A military veteran hunts the men who kidnapped her son.",88,"Action",4.7,NA,6488,"David Hackl","Gina Carano",NA
"101",101,"K<U+1EBB> Ch<U+1EBF>t Không Ch<U+1EBF>t","The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.",104,"Comedy",5.5,"53",72825,"Jim Jarmusch","Bill Murray","6.56"
"102",102,"Sát Th<U+1EE7> Anna","Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.",118,"Action",6.7,"40",74558,"Luc Besson","Sasha Luss","7.74"
"103",103,"Khu M<U+1ED3> Côi Brooklyn","In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.",144,"Crime",6.8,"60",53362,"Edward Norton","Edward Norton","144.1"
"104",104,"Pokémon: Thám T<U+1EED> Pikachu","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",104,"Action",6.6,"53",153530,"Rob Letterman","Ryan Reynolds","16.65"
"105",105,"Cosmos","Three amateur astronomers are perplexed when the newest member of their team intercepts radio signals of seemingly impossible origin.",128,"Adventure",6,"52",4855,"Elliot Weaver","Tom England","54.89"
"106",106,"Waiting for the Barbarians","At an isolated frontier outpost, a colonial magistrate suffers a crisis of conscience when an army colonel arrives looking to interrogate the locals about an impending uprising, using cruel tactics that horrify the magistrate.",112,"Drama",5.9,"51",10110,"Ciro Guerra","Mark Rylance","160.8"
"107",107,"21 Cây C<U+1EA7>u","An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.",99,"Action",6.6,"68",60671,"Brian Kirk","Chadwick Boseman","45.73"
"108",108,"M<U+1EA5>t Tích Trong R<U+1EEB>ng Sâu","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",93,"Animation",6.7,"63",24782,"Chris Butler","Hugh Jackman","30.32"
"109",109,"Dora và Thành Ph<U+1ED1> Vàng M<U+1EA5>t Tích","Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",102,"Action",6.1,"69",28912,"James Bobin","Isabela Merced","25.50"
"110",110,"Togo","The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",113,"Adventure",8,"61",44957,"Ericson Core","Willem Dafoe","5.33"
"111",111,"K<U+1EBB> Ch<U+1EC9> Ði<U+1EC3>m","An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.",113,"Action",6.6,"71",31992,"Andrea Di Stefano","Joel Kinnaman","15.01"
