"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1927",1927,"Suursuz Ask","In the 80s, Turkey is in the middle of a politically turbulent period. Yusuf, who lives with a disability, doesn't get involved in politics, and prefers to work to support his mum. After the revolution, nothing will be the same for him.",97,"Drama",6.2,NA,591,"Umut Ertek","Ismail Hacioglu",NA
"1928",1928,"Bombay Rose","BOMBAY ROSE is a beautiful hand-painted animation created by award winning animator Gitanjali Rao. Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested by duty and religious divides.",77,"Animation",6.5,NA,121,"Gitanjali Rao","Cyli Khare",NA
"1929",1929,"Hydra","Hydra - a small bar in the middle of Tokyo. There's Takashi, standoffish guy working where he hides his another identity of a highly skilled hit man now has to face a brutal killing game that he has been pointed as a target.",80,"Action",7.9,NA,34,"Kensuke Sonomura","Masanori Mimoto",NA
"1930",1930,"Being Leonardo Da Vinci","It has been 500 years since the death of Leonardo da Vinci. In ""Being Leonardo da Vinci,"" Finazzer Flory gives viewers a captivating, unforgettable look into what makes and shapes the mind of a legend.",99,"Drama",5.9,NA,582,"Massimiliano Finazzer Flory","Silvia Carusillo",NA
"1931",1931,"Bernie the Dolphin 2","The kids are thrilled that Bernie has come back. But so has their old enemy Winston, who's about to kidnap the talented dolphin. Kevin and Holly must rescue their splashy friend before it's too late.",61,"Action",6.1,NA,361,"Kirk Harris","Lola Sultan",NA
"1932",1932,"Fragtime","What would you do if you could stop time? Moritani for one is using her unusual ability to stop time for three minutes a day to observe the people around her. One day, she chooses to ""...                See full summary »",107,"Animation",6.2,NA,1030,"Takuya Satô","Miku Itou",NA
"1933",1933,"Blank","A suicide bomber loses his memory and has a bomb attached to his heart. It is up to the police officers to prevent this bomb from taking innocent lives.",101,"Action",4.5,NA,2775,"Behzad Khambata","Sunny Deol",NA
"1934",1934,"Manifest Destiny Down: Spacetime","An awkward physics genius and an ex-Catholic sorority girl wake up after blacking out Halloween night to discover they missed the evacuation of Earth. A mystery agent pursues their Theory of Everything as they try to save humanity from AI.",78,"Comedy",7.7,NA,50,"Jonathan T. Baker","Lexie Lowell",NA
"1935",1935,"The In-Between","Mads and Junior, united by their chronic illnesses, leave Los Angeles on a road trip. They visit quirky landmarks and cheap motels until Junior discovers that Mads has a secret that could tear their friendship apart.",82,"Drama",4.3,NA,66,"Mindy Bledsoe","Jennifer Stone",NA
"1936",1936,"Pagan Warrior","After a savage gang of Vikings invade a Saxon Castle, murdering all in sight, one surviving man calls upon Krampus, the Yule devil to come to exact revenge for his family.",97,"Horror",6.1,NA,246,"Nick Minaj","Peter Cosgrove",NA
"1937",1937,"Cleo","Cleo is trying to pick her life back up after a devastating car crash which kills her parents. She is raised with her brother by their grandmother and meets an older guy in a night club who seems to understand the struggle she is in.",123,"Drama",6.4,NA,1682,"Eva Cools","Anna Franziska Jaeger",NA
"1938",1938,"Danmarks sønner","Denmark four years into the future. After a major bomb attack in Copenhagen radicalization and ethnic tensions are running high, and a racist leader is leading the polls.19-year old Zakaria is afraid, wanting to do something.",95,"Drama",4.9,NA,203,"Ulaa Salim","Zaki Youssef",NA
"1939",1939,"Makmum","While in the dormitory, the resident of the dormitory is terrorized by a supernatural creature. There is a kind of supernatural creature called ""Makmum"" (the follower) that follows them during prayer.",96,"Horror",6.4,NA,106,"Hadrah Daeng Ratu","Titi Kamal",NA
"1940",1940,"Vita segreta di Maria Capasso","After becoming a widow with three children, Maria accepts the help of Genaro, the rich owner of a car dealership. She is willing to do anything for her family.",85,"Crime",3.8,NA,1656,"Salvatore Piscicelli","Luisa Ranieri",NA
"1941",1941,"Wolf","When four messengers sent by Rome to a plague go missing, Rome has no choice but to send ten of their finest across Hadrian's Wall to find and bring them back.",90,"Drama",5.3,NA,805,"Stuart Brennan","Stuart Brennan",NA
"1942",1942,"Robo","12-year-old Mitya Privalov dreams of becoming a superhero comics artist. But his robotics engineer parents want him to follow in their footsteps. Mitya never would have imagined that he'd ...                See full summary »",98,"Adventure",7.4,NA,54,"Sarik Andreasyan","Daniil Izotov",NA
"1943",1943,"Belle Douleur","Belle Douleur tells the story of a woman's journey of finding happiness as she breaks free from the confines of society that shackles women.",119,"Drama",5.9,NA,491,"Joji Alonso","Mylene Dizon",NA
"1944",1944,"Eiga: Kakegurui","Hyakaou Academy is an institute where the academic ranking is based on the pupils' gambling winnings. Yumeko is new to the academy. Her pretty enchantress looks are only surpassed by her voracious appetite to gamble it all and win it all.",153,"Drama",6.6,NA,8518,"Tsutomu Hanabusa","Minami Hamabe",NA
"1945",1945,"Viswasam","A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.",107,"Action",4.3,NA,1363,"Siva","Ajith Kumar",NA
"1946",1946,"Arjun Patiala","This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together, will they be able to accomplish their mission of a crime-free town with their goofy style of policing?",118,"Action",7.3,NA,1005,"Rohit Jugraj","Diljit Dosanjh",NA
"1947",1947,"Xin Chào, Yêu, T<U+1EA1>m Bi<U+1EC7>t","A bartender romances a domestic helper despite the fact that she is moving to Canada.",130,"Drama",8.4,NA,94,"Cathy Garcia-Molina","Kathryn Bernardo",NA
"1948",1948,"Has Jhan Pagli Fas Jabe","        Add a Plot",140,"Romance",7,NA,1433,"Satish Jain","Anikriti Chauhan",NA
"1949",1949,"Ambili","Guileless like a child and ever so full of life, Ambili is beloved by everyone in his village. The story traces Ambili's outlook towards life and of challenges others surrounding him that face him on an everyday basis.",117,"Adventure",5.7,NA,866,"Johnpaul George","Arjun Asokan",NA
"1950",1950,"12 Thi<U+1EBF>u Niên Mu<U+1ED1>n Ch<U+1EBF>t","Twelve kids go into an abandoned hospital to give up on life. In the room where they meet, a boy is already lying dead, and no one knows who he is.",NA,"Mystery",NA,NA,NA,"Yukihiko Tsutsumi","Hana Sugisaki",NA
"1951",1951,"Choir Girl","Eugene, a lonely photographer, becomes fixated on a young street prostitute, Josephine, in his rundown neighborhood. She becomes his muse and his photographs could be a way out for both of them - yet is Eugene saving Josephine or is he using her?",90,"Drama",4.5,"72",89,"John Fraser","Peter Flaherty",NA
"1952",1952,"Artik","A comic book obsessed serial killer teaches his son how to get away with a series of brutal murders until the boy befriends a mysterious man who threatens to expose everything.",78,"Horror",4.3,"52",790,"Tom Botchii","Chase Williamson",NA
"1953",1953,"Malchik russkiy","A simple village boy goes to the front of the First World war with a naive youthful dream of fame and medals. However, in the first battle he participates, he loses his sight. He is left to...                See full summary »",72,"Drama",6.3,"55",750,"Alexander Zolotukhin","Vladimir Korolev",NA
"1954",1954,"FOMO: Fear of Missing Out","Gergö and his teenage friends are into three things: partying, sex, and their online following. One night, at a party, Lilla falls victim to the boys. A dare gets out of hand and the youngsters' world changes forever overnight.",90,"Drama",6.7,NA,1096,"Attila Hartung","Yorgosz Goletsas",NA
"1955",1955,"Unbreakable","Mariel and Deena have been best friends since college. Their relationship is challenged as family obligations and a tragedy force them to re-evaluate the meaning of loyalty. Will this friendship survive the ultimate test of love?",119,"Drama",7.6,NA,62,"Mae Czarina Cruz","Angelica Panganiban",NA
"1956",1956,"Once Upon a River","Margo Crane's odyssey on the Stark River introduces her to a world filled with wonders and dangers.",92,"Drama",5.7,NA,226,"Haroula Rose","Kenadi DelaCerna",NA
